road_width(m),number_of_floor,number_of_bedroom,area(m2),address,price(vnd)
3m,3 lầu,3 phòng ngủ, 72 m2,"Đường Duy Tân, Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng",10 triệu 
3m,3 lầu,4 phòng ngủ, 80 m2,"Đường Ông Ích Khiêm, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng",8 triệu 
3m,3 lầu,2 phòng ngủ, 70 m2,"Đường Phan Thanh, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",12 triệu 
3m,5 lầu,5 phòng ngủ, 43 m2,"Đường Hùng Vương, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng",17 triệu 
7m,3 lầu,3 phòng ngủ, 50 m2,"Đường Trường Chinh, Phường An Khê, Quận Thanh Khê, Đà Nẵng","7,5 triệu "
3m,2 lầu,3 phòng ngủ, 100 m2,"Đường Chế Lan Viên, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",12 triệu 
2m,2 lầu,2 phòng ngủ, 50 m2,"Đường Hải Phòng, Phường Tân Chính, Quận Thanh Khê, Đà Nẵng",6 triệu 
7m,3 lầu,4 phòng ngủ, 150 m2,"Đường Nguyễn Tất Thành, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng","16,5 triệu "
3m,3 lầu,3 phòng ngủ, 100 m2,"Đường Trần Cao Vân, Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",8 triệu 
"2,5m",1 lầu,2 phòng ngủ, 42 m2,"Đường Lý Thái Tổ, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",5 triệu 
"2,5m",1 lầu,2 phòng ngủ, 50 m2,"Đường Đinh Tiên Hoàng, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng",6 triệu 
"3,5m",3 lầu,4 phòng ngủ, 120 m2,"Đường Ngô Quyền, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",15 triệu 
0m,0,0, 1.350 m2,"Đường Nguyễn Hữu Thọ, Phường Hòa Cường, Quận Hải Châu, Đà Nẵng",135 triệu 
"7,5m",3 lầu,3 phòng ngủ, 100 m2,"Đường Trần Cao Vân, Phường Tam Thuận, Quận Thanh Khê, Đà Nẵng",8 triệu 
2m,1 lầu,2 phòng ngủ, 73 m2,"Đường Điện Biên Phủ, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng",6 triệu 
5m,3 lầu,3 phòng ngủ, 95 m2,"Đường Trần Văn Dư, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",12 triệu 
5m,3 lầu,4 phòng ngủ, 160 m2,"Đường Hoàng Bình Chính, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng",10 triệu 
4m,2 lầu,3 phòng ngủ, 120 m2,"Đường Nguyễn Huy Lượng, Phường Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng",7 triệu 
3m,1 lầu,3 phòng ngủ, 50 m2,"Đường Nguyễn Văn Linh, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",6 triệu 
4m,0,2 phòng ngủ, 50 m2,"Đường Nguyễn Văn Linh, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng","5,5 triệu "
3m,3 lầu,4 phòng ngủ, 60 m2,"Đường Nguyễn Tri Phương, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",10 triệu 
6m,3 lầu,3 phòng ngủ, 105 m2,"Đường Nguyễn Thành Hãn, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",15 triệu 
